date,match,pr,result,score
24.08.2019 20:00,R.Madrid - R.Valladolid,23.08.2019 - 27.08.2019,0,1 - 1
16.09.2019 20:00,ALANYASPOR-FENERBAHÇE A.Ş.,13.09.2019 - 16.09.2019,1,3:1
06.09.2019 19:00,ESTONYA-BELARUS,06.09.2019 - 09.09.2019,2,1 - 2
01.09.2019 21:45,FENERBAHÇE A.Ş.-TRABZONSPOR A.Ş.,30.08.2019 - 02.09.2019,0,1 - 1
16.08.2019 20:30,Denizlispor - Galatasaray ,16.08.2019 - 20.08.2019,1,2 - 0
10.08.2019 23:00,Sao Paulo - Santos,10.08.2019 - 13.08.2019,1,3 - 2
04.08.2019 01:00,Fluminense - Internacional,03.08.2019 - 06.08.2019,1,2 - 1
15.09.2019 20:00,TRABZONSPOR A.Ş.-GENÇLERBİRLİĞİ,13.09.2019 - 16.09.2019,0,2:2
14.09.2019 20:00,GAZİŞEHİR GAZİANTEP-BEŞİKTAŞ A.Ş.,13.09.2019 - 16.09.2019,1,3:2
13.09.2019 20:30,GALATASARAY A.Ş.-KASIMPAŞA A.Ş.,13.09.2019 - 16.09.2019,1,1:0
14.09.2019 20:00,ANTALYASPOR A.Ş.-KAYSERİSPOR,13.09.2019 - 16.09.2019,0,2:2
14.09.2019 17:00,M.BAŞAKŞEHİR-SİVASSPOR,13.09.2019 - 16.09.2019,0,1:1
15.09.2019 20:00,DENİZLİSPOR-KONYASPOR,13.09.2019 - 16.09.2019,2,0:1
15.09.2019 17:00,MKE ANKARAGÜCÜ-Y.MALATYASPOR,13.09.2019 - 16.09.2019,2,0:4
15.09.2019 17:00,Ç.RİZESPOR-GÖZTEPE A.Ş.,13.09.2019 - 16.09.2019,0,0:0
14.09.2019 14:00,REAL MADRİD-LEVANTE,13.09.2019 - 16.09.2019,1,3:2
14.09.2019 16:30,B.DORTMUND-B.LEVERKUSEN,13.09.2019 - 16.09.2019,1,4:0
14.09.2019 17:00,MANCHESTER UTD-LEİCESTER CİTY,13.09.2019 - 16.09.2019,1,1:0
14.09.2019 19:30,R.SOCİEDAD-ATLETİCO MADRİD,13.09.2019 - 16.09.2019,1,2:0
14.09.2019 22:00,BARCELONA-VALENCİA,13.09.2019 - 16.09.2019,1,5:2
15.09.2019 22:00,MONACO-MARSİLYA,13.09.2019 - 16.09.2019,2,3:4
06.09.2019 21:45,SAN MARİNO-BELÇİKA,06.09.2019 - 09.09.2019,2,0 - 4
06.09.2019 21:45,ALMANYA-HOLLANDA,06.09.2019 - 09.09.2019,2,2 - 4
06.09.2019 21:45,GALLER-AZERBAYCAN,06.09.2019 - 09.09.2019,1,2 - 1
06.09.2019 21:45,SLOVAKYA-HIRVATİSTAN,06.09.2019 - 09.09.2019,2,0 - 4
06.09.2019 21:45,AVUSTURYA-LETONYA,06.09.2019 - 09.09.2019,1,6 - 0
06.09.2019 21:45,SLOVENYA-POLONYA,06.09.2019 - 09.09.2019,1,2 - 0
06.09.2019 21:45,İSKOÇYA-RUSYA,06.09.2019 - 09.09.2019,2,1 - 2
07.09.2019 16:00,KOSOVA-ÇEK CUMHURİYETİ,06.09.2019 - 09.09.2019,1,2 - 1
07.09.2019 16:00,LİTVANYA-UKRAYNA,06.09.2019 - 09.09.2019,2,0 - 3
07.09.2019 19:00,İZLANDA-MOLDOVA,06.09.2019 - 09.09.2019,1,3 - 0
07.09.2019 21:45,FRANSA-ARNAVUTLUK,06.09.2019 - 09.09.2019,1,4 - 1
07.09.2019 21:45,TÜRKİYE-ANDORRA,06.09.2019 - 09.09.2019,1,1 - 0
